time [ns],x [m],y [m],z [m],a [rad],b [rad],c [rad],d [rad]
2287500000,-0.409617,1.173265,2.834382,-0.130412,0.985606,0.093583,0.053063
2300000000,-0.410612,1.1774040000000001,2.836481,-0.141736,0.981243,0.11973900000000001,0.052302
2312499999,-0.41177600000000003,1.177378,2.837001,-0.132233,0.982899,0.117878,0.050288
2325000000,-0.412189,1.178562,2.837663,-0.128579,0.984231,0.109473,0.052655999999999994
2337499999,-0.413024,1.180351,2.838813,-0.133447,0.9829120000000001,0.11548499999999999,0.052328999999999994
2350000000,-0.41358199999999995,1.181349,2.8397040000000002,-0.135762,0.982433,0.11769,0.050439
2362500000,-0.414299,1.182289,2.8406830000000003,-0.13294,0.982786,0.118128,0.050051
2374999999,-0.41566499999999995,1.183008,2.8420259999999997,-0.123047,0.9850639999999999,0.11009400000000001,0.048868
2387500000,-0.415807,1.18374,2.842813,-0.130553,0.983468,0.112567,0.055459
2399999999,-0.416591,1.185334,2.844129,-0.13346,0.9828030000000001,0.116677,0.051698
2412500000,-0.416886,1.186688,2.8455209999999997,-0.142905,0.9808709999999999,0.12218499999999999,0.05041
2425000000,-0.417887,1.186208,2.846084,-0.125777,0.9844799999999999,0.110176,0.053296
2437499999,-0.418587,1.186994,2.847385,-0.129247,0.983348,0.116204,0.053097000000000005
2450000000,-0.41924700000000004,1.187769,2.848389,-0.13308499999999998,0.9829690000000001,0.115907,0.05125
2462499999,-0.419691,1.188541,2.849291,-0.138053,0.9821690000000001,0.11606400000000001,0.053059
2475000000,-0.420498,1.1891530000000001,2.8505849999999997,-0.134383,0.983131,0.11261900000000001,0.052067999999999996
2487500000,-0.42139799999999994,1.189771,2.851975,-0.130938,0.983517,0.11368299999999999,0.051235
2499999999,-0.42274399999999995,1.189667,2.8531009999999997,-0.12528499999999998,0.98475,0.110876,0.047722
2512500000,-0.42276899999999995,1.190104,2.854062,-0.133422,0.9829559999999999,0.115415,0.05172
2524999999,-0.42342299999999994,1.190536,2.8552939999999998,-0.13522,0.9821,0.121628,0.049
2537500000,-0.42399499999999996,1.190933,2.8565709999999997,-0.134648,0.982246,0.119091,0.053676999999999996
2550000000,-0.42476899999999995,1.191315,2.858029,-0.132992,0.9828959999999999,0.116888,0.050662
2562499999,-0.42478699999999997,1.192806,2.8594470000000003,-0.144241,0.980466,0.12194300000000001,0.054871
2575000000,-0.42568900000000004,1.1930610000000001,2.860636,-0.142021,0.9810469999999999,0.12158900000000002,0.050914
2587499999,-0.426828,1.192387,2.861885,-0.134709,0.9825879999999999,0.11789200000000001,0.049749
2600000000,-0.428058,1.192531,2.863259,-0.122748,0.985002,0.110606,0.049711
2612500000,-0.428154,1.192906,2.86425,-0.125672,0.9841110000000001,0.11399300000000001,0.052322
2624999999,-0.429634,1.192717,2.865698,-0.118966,0.985632,0.110589,0.046327999999999994
2637500000,-0.43028500000000003,1.192863,2.86687,-0.120387,0.9856799999999999,0.110252,0.042262
2649999999,-0.430221,1.193352,2.868193,-0.127064,0.9842629999999999,0.11056600000000001,0.053453
2662500000,-0.430838,1.193409,2.869462,-0.12625999999999998,0.9843200000000001,0.111303,0.052762
2675000000,-0.431363,1.193611,2.870212,-0.123794,0.983577,0.11831099999999999,0.05704
2687499999,-0.43150200000000005,1.193535,2.871045,-0.14015,0.98034,0.127116,0.055984000000000006
2700000000,-0.431965,1.194472,2.872228,-0.14437,0.9793700000000001,0.12846400000000002,0.059065999999999994
2712499999,-0.432395,1.194574,2.873199,-0.146205,0.9785379999999999,0.131879,0.060784000000000005
2725000000,-0.432906,1.194688,2.8743090000000002,-0.14543299999999998,0.978231,0.135002,0.060726
2737500000,-0.43473,1.194715,2.87764,-0.13752,0.9820780000000001,0.11998800000000001,0.047057
2749999999,-0.435021,1.195155,2.879677,-0.150534,0.978591,0.130272,0.052228
2762500000,-0.43666499999999997,1.194598,2.881281,-0.12521,0.98454,0.111706,0.050251
2774999999,-0.43690500000000004,1.194747,2.882684,-0.129529,0.983392,0.11607200000000001,0.051864999999999994
2787500000,-0.437528,1.194892,2.883939,-0.124645,0.9843,0.112174,0.055092999999999996
2800000000,-0.43815,1.1952180000000001,2.885406,-0.128729,0.983577,0.11536099999999999,0.05193
2812499999,-0.438746,1.195482,2.886961,-0.13558699999999999,0.982584,0.116539,0.050635
2825000000,-0.43992700000000007,1.195344,2.888785,-0.12243,0.985281,0.108215,0.050216000000000004
2837499999,-0.440342,1.195484,2.889775,-0.12575799999999998,0.984261,0.11333199999999999,0.050704
2850000000,-0.44092200000000004,1.19581,2.891463,-0.13259,0.9828100000000001,0.11813399999999999,0.050487
2862500000,-0.44136000000000003,1.1957360000000001,2.892846,-0.142178,0.980628,0.12631099999999998,0.046906
2874999999,-0.44181800000000004,1.195977,2.894113,-0.152,0.978008,0.134426,0.048223
2887500000,-0.44263199999999997,1.195871,2.896045,-0.124918,0.984123,0.113844,0.054188
2899999999,-0.443276,1.195529,2.897622,-0.12595499999999998,0.9841620000000001,0.114139,0.050329
2912500000,-0.443809,1.1955149999999999,2.8992299999999998,-0.12701099999999999,0.984109,0.112853,0.051591
2925000000,-0.44435699999999995,1.195775,2.900684,-0.130074,0.983816,0.11090499999999999,0.053736
2937499999,-0.44604099999999997,1.195559,2.902746,-0.115444,0.987066,0.10254100000000001,0.043118000000000004
2950000000,-0.446383,1.195584,2.9037599999999997,-0.117342,0.986085,0.10967,0.042893
2962499999,-0.446849,1.195545,2.90524,-0.11995499999999999,0.985081,0.111122,0.053648
2975000000,-0.446554,1.1964569999999999,2.907822,-0.14155399999999999,0.981648,0.116204,0.053171
2987500000,-0.44772,1.195484,2.909136,-0.13183699999999998,0.983967,0.108446,0.051641
2999999999,-0.44800100000000004,1.19566,2.909897,-0.133043,0.9835219999999999,0.110784,0.052074
3012500000,-0.44838500000000003,1.1956579999999999,2.910916,-0.13964000000000001,0.9819319999999999,0.116292,0.052779999999999994
3024999999,-0.449161,1.194982,2.912803,-0.147567,0.9817389999999999,0.11221300000000001,0.042677
3037500000,-0.450013,1.194828,2.914461,-0.133962,0.9845379999999999,0.100395,0.051573
3050000000,-0.450371,1.1949020000000001,2.915205,-0.135185,0.984133,0.102585,0.051807000000000006
3062499999,-0.450937,1.194975,2.917452,-0.141204,0.984117,0.096136,0.048303
3075000000,-0.451347,1.19422,2.918375,-0.151201,0.982397,0.100104,0.044881
3087499999,-0.452021,1.19395,2.9193540000000002,-0.152712,0.982353,0.09951499999999999,0.041932
3100000000,-0.45286499999999996,1.193605,2.920284,-0.150278,0.9828049999999999,0.09957,0.039956
3112500000,-0.453428,1.193363,2.921036,-0.15127000000000002,0.982353,0.101622,0.042093
3124999999,-0.45414399999999994,1.193376,2.922073,-0.145373,0.983498,0.096587,0.047649000000000004
3137500000,-0.45458000000000004,1.192921,2.922509,-0.15975699999999998,0.979991,0.10965499999999999,0.045509
3149999999,-0.455589,1.191571,2.924239,-0.143742,0.985406,0.080435,0.042944
3162500000,-0.45586000000000004,1.191396,2.92535,-0.144981,0.985301,0.078221,0.045209
3175000000,-0.45755,1.189655,2.9256029999999997,-0.131411,0.9877290000000001,0.072368,0.043423
3187499999,-0.45766,1.189928,2.925996,-0.129935,0.9878870000000001,0.069906,0.048059
3200000000,-0.45823500000000006,1.189473,2.926268,-0.134689,0.986827,0.074653,0.049576999999999996
3212499999,-0.458769,1.189062,2.926448,-0.135324,0.9865799999999999,0.075664,0.051213999999999996
3225000000,-0.45919799999999994,1.188367,2.926447,-0.140448,0.985542,0.080696,0.049685
3237500000,-0.45978800000000003,1.1879899999999999,2.9264799999999997,-0.141368,0.9854139999999999,0.080713,0.049591
3249999999,-0.46047200000000005,1.188138,2.926523,-0.13608299999999998,0.986613,0.074002,0.050992
3262500000,-0.46094399999999996,1.18784,2.9263630000000003,-0.137798,0.986399,0.073496,0.051264
3274999999,-0.462183,1.1866450000000002,2.926268,-0.138172,0.987368,0.064236,0.043436
3287500000,-0.462686,1.1865729999999999,2.925937,-0.138977,0.9872,0.062959,0.046462
3300000000,-0.46306099999999994,1.1863,2.925478,-0.140619,0.986874,0.06297699999999999,0.048372000000000005
3312499999,-0.464769,1.184933,2.924573,-0.123424,0.9902040000000001,0.051129,0.040607
3325000000,-0.46596499999999996,1.184477,2.923603,-0.121795,0.990793,0.0485,0.033819999999999996
3337499999,-0.46663999999999994,1.183322,2.922676,-0.132727,0.98916,0.051173,0.036437
3350000000,-0.466656,1.183657,2.921018,-0.14119600000000002,0.9874059999999999,0.05929299999999999,0.039718
3362500000,-0.468602,1.182872,2.919998,-0.126064,0.990339,0.048069,0.032025
3374999999,-0.468513,1.18286,2.9182930000000002,-0.131254,0.9888629999999999,0.053996,0.044786
3387500000,-0.469408,1.1824290000000002,2.916579,-0.136078,0.9884270000000001,0.055090999999999994,0.038221
3399999999,-0.470293,1.182431,2.915342,-0.130246,0.989656,0.044826,0.040091
3412500000,-0.47072200000000003,1.181741,2.913055,-0.136939,0.988085,0.050875,0.048454000000000004
3425000000,-0.47138100000000005,1.181424,2.911694,-0.14015899999999998,0.987759,0.046013,0.050705
3437499999,-0.472883,1.181201,2.908339,-0.131878,0.9895370000000001,0.047985,0.033499
3450000000,-0.47292700000000004,1.181419,2.905786,-0.148346,0.9864200000000001,0.056772,0.041777
3462499999,-0.47393500000000005,1.181107,2.9031,-0.14433900000000002,0.987034,0.056602,0.041545
3475000000,-0.475369,1.179389,2.900056,-0.132502,0.9891110000000001,0.05024,0.039731
3487500000,-0.476627,1.179171,2.897141,-0.12811199999999998,0.989809,0.048096,0.039395
3499999999,-0.476858,1.179149,2.894464,-0.135035,0.9890049999999999,0.047091,0.037642
